epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5271,1.59451,8.7632,1.37227,0,0,0,0,0.9916,6.69871,1.1376,7e-05,7e-05,7e-05
2,75.0969,1.38291,6.69678,1.17714,0,0,0,0,0.95594,6.3836,1.02169,0.000142129,0.000142129,0.000142129
3,111.003,1.30766,12.2379,1.02798,0,0,0,0,0.90021,5.97794,0.94837,0.000211288,0.000211288,0.000211288
4,146.826,1.20557,11.9538,1.00135,0.19178,0.86154,0.54157,0.41358,0.85404,5.34165,0.94282,0.000277477,0.000277477,0.000277477
5,182.528,1.09736,5.18551,0.99779,0.36129,0.86154,0.68267,0.51557,0.82031,5.24973,0.93733,0.000340696,0.000340696,0.000340696
6,217.79,1.09563,3.18385,1.00083,0.25339,0.86154,0.70813,0.52599,0.87189,5.04352,0.9769,0.000400945,0.000400945,0.000400945
7,253.55,1.14348,4.8467,1.05409,0.21756,0.87692,0.7591,0.50623,1.02925,4.81999,1.05484,0.0004406,0.0004406,0.0004406
8,289.59,1.30962,4.28394,1.04961,0.26761,0.87692,0.77168,0.53154,0.99414,4.81127,1.05409,0.0004307,0.0004307,0.0004307
9,325.548,1.11805,4.48374,1.05302,0.91309,0.64652,0.81959,0.58143,0.93247,3.79925,1.04985,0.0004208,0.0004208,0.0004208
10,361.92,1.10173,3.09137,1.05634,0.85546,0.76923,0.85511,0.63605,0.87017,3.03654,1.02375,0.0004109,0.0004109,0.0004109
11,398.059,1.0427,3.20157,1.00073,0.93015,0.81958,0.91803,0.69568,0.89197,3.12302,1.00451,0.000401,0.000401,0.000401
12,433.97,1.01683,3.49611,0.98663,0.84674,0.85005,0.92275,0.72017,0.83214,3.16803,0.95775,0.0003911,0.0003911,0.0003911
13,470.118,0.93004,4.41814,0.90745,0.8308,0.90769,0.92637,0.72503,0.79511,2.61236,0.96134,0.0003812,0.0003812,0.0003812
14,506.443,1.00009,2.1975,0.9717,0.82376,0.90769,0.9092,0.7024,0.79256,2.55388,0.97559,0.0003713,0.0003713,0.0003713
15,542.172,1.05168,4.13834,1.02684,0.87903,0.89436,0.91963,0.72129,0.78088,2.95889,0.97089,0.0003614,0.0003614,0.0003614
